"Aid Station Name","Seg Distance","Mileage","Crew Access","Elevation","30hr.pace","32hr.pace","38hr.pace"
"Falls Hollow ",5.18,5.18,"No ",2073,"1:32","1:38","1:56"
"Dry Branch Gap ",9.45,14.63,"No ",2530,"4:19","4:36","5:28"
"Dowells Draft ",7.48,22.11,"Yes ",1986,"6:31","6:57","8:15"
"Lookout Mountain ",8.67,30.78,"No ",2575,"9:04","9:40","11:29"
" North River Gap ",6.35,37.13,"Yes ",1609,"10:56","11:40","13:51"
"Little Bald Knob ",7.83,44.96,"No ",4016,"13:15","14:08","16:46"
"Turn-Around ",6.6,51.56,"Yes",3844,"15:11","16:12","19:14"
"Little Bald Knob ",5.94,57.5,"No ",4016,"16:56","18:04","21:27"
"North River Gap ",7.83,65.33,"Yes ",1609,"19:15","20:32","24:22"
"Lookout Mountain ",6.35,71.68,"No ",2575,"21:07","22:31","26:45"
"Dowells Draft ",8.67,80.35,"Yes ",1986,"23:40","25:15","29:59"
"Dry Branch Gap ",7.48,87.83,"Yes ",2530,"25:52","27:36","32:46"
"Falls Hollow ",8.84,96.67,"Yes ",2073,"28:28","30:22","36:04"
"Finish ",5.18,101.85,"",1693,"30:00","32:00","38:00"
